name,price,type,material1,material2,material3,material4
ココナツラテ,10.2,drink,「9℃」コーヒ豆,ココナッツ,,
アイスモカ,10.6,drink,「9℃」コーヒ豆,ココアパウダー,,
アップルパイ,11.0,dessert,小麦粉,リンゴ,,
トマトエッグクロワッサン,11.4,main,小麦粉,リンゴ,生卵,
ツナサンド,11.8,main,小麦粉,レタス,海の魚,
琥珀ミルクティー,12.2,drink,「9℃」コーヒ豆,牛乳,スターキャンディ,みかん
抹茶溶岩ムース,12.6,dessert,小麦粉,牛乳,抹茶パウダー,
チョコアイスラテ,13.0,drink,「9℃」コーヒ豆,牛乳,生クリーム,ココアパウダー
厚切ビーフサンド,13.5,main,小麦粉,新鮮な牛肉,レタス,ハードバター
小豆バターワッサン,14.0,main,小麦粉,ハードバター,あんこ,
イチゴボックスケーキ,14.5,dessert,小麦粉,イチゴ,生クリーム,
オレンジ珈琲,15.0,drink,「9℃」コーヒ豆,みかん,リンゴ,
カツサンド,15.5,main,小麦粉,タマネギ,新鮮なぶた肉,「砂糖or塩」海塩
ココナツマキアート,16.0,drink,「9℃」コーヒ豆,牛乳,ビーンズクッキー,ココナッツ
クリーム抹茶ラテ,16.5,drink,「9℃」コーヒ豆,牛乳,生クリーム,抹茶パウダー
ティラミス,17.0,dessert,小麦粉,ビーンズクッキー,「T&J」ブロックチーズ,「9℃」コーヒ豆
ハムワッサン,17.5,main,小麦粉,レタス,ハム,チーズ
キャラメルココフィー,18.0,dessert,小麦粉,生クリーム,「砂糖or塩」海塩,ココアパウダー